"Data Source","World Development Indicators",

"Last Updated Date","2018-05-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.4283914321714","84.8561759729272","86.6396761133603","82.5309992706054","79.6377054679638","79.9491538064926","74.3860109498193","70.4879162823985","64.9345528642476","63.1063560458027","65.0804037486649","68.547872977831","65.4912745360416","65.9129090572281","66.2606726015035","63.7863311491609","61.5024483891343","70.7720608102996","","","","","","",
"Afghanistan","AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","4.13223321494422","4.45344326574765","4.87805112036481","9.171601094149","8.88889256172819","11.2582791310323","8.57142877551021","6.77290842314672","8.89967664482985","10.0946369851427","9.78400228346932","10.922342255116","14.7632312416105","12.9487180787311","14.0206189325114","12.6760568934735","13.2173912468809","11.6629043316852","10.8417502819894","","","","","","","","","","","","","","","","","","","","","","","","32.3867187434984","43.5568692886976","33.9964942565238","27.3952555550972","26.4702926571493","17.8237142691694","17.9929746901578","14.707588950143","10.0238497500877","6.1072740046737","5.51685032452764","6.3078950372517","6.56770005003155","7.00211692002352","6.89624956360814","",
"Angola","AGO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","50","50","33.3333333333333","33.3333333333333","25","69.2307692307692","53.9033457249071","85.3595614317962","","82.7222609884224","68.4919382230125","56.7231384915814","86.2964935064935","89.6278948269862","75.3889911663897","68.2910487268663","68.42476513459","70.2503132572415","86.018631962858","79.7962567641723","73.9581879821886","76.31842681254","54.9076882639315","62.3877389982541","65.3527091485177","62.3133984074545","55.6889427367434","47.9986914348687","33.4465245498078","30.0302339631178","",
"Albania","ALB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.1155877404787","22.9826424624068","19.3750006044487","18.1966040097454","17.4130828745422","16.2355450687433","15.0575048012794","15.4662970134491","16.382290098777","17.9401526574603","14.8694465271417","7.22457950300987","11.4904380543576","15.4225232597195","11.3516873339455","12.475374262714","11.1957672128498","9.74565429485444","10.8443029113193","15.8167310392108","17.8670840190739","18.4315710845092","19.598874267479","20.3559109089941","21.9829364121355","22.8240735630002","24.9339955170481","28.0842219491787","25.3024049213691","25.2407376372791","27.9794712356154","29.2415007349607","28.9374864925568","28.7377684160707","28.2129787944095","27.3916698437256","28.9717278283205","",
"Andorra","AND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","37.2150546678792","38.7749091527439","41.2211436439301","57.3073913207756","49.9283071306558","50.9964507902026","45.6955886743282","43.7161255257756","39.9527683804099","45.4017679454321","50.5253067085657","47.4151094759825","39.5303099787263","34.3946518528384","32.5081336222112","29.7985795318814","24.5327155733095","27.6784972013061","27.9709778150742","29.737780438771","31.9567763184644","28.7172676796262","30.22748734331","28.4689759891403","29.4120192255603","31.2763500954199","32.6722710030853","37.3182778509525","33.0199534303255","36.311630745472","42.6089610820265","40.8072901484607","41.6120539972916","45.5606234491836","48.8407795656203","52.6450292369801","53.7650797117914","53.7283027165916","56.9471761891238","47.4039278452105","49.9583694143166","54.9430832938925","55.3185728709198","53.4881246002936","50.6678725124494","43.4147691959269","41.1664977713456","",
"United Arab Emirates","ARE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1592253276122","49.5033473840813","55.9231992151745","63.5677906002192","67.5854343932605","68.6278307709848","72.3840975003088","78.86788870154","79.6533178621862","77.7130352393658","89.7198009495414","100.261455895205","100.549137785847","99.1001486424634","100.405575225571","103.821197595975","",
"Argentina","ARG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","7.60404910825644","5.9949469947787","4.69184275899831","7.89045420262462","5.56371560478508","6.22587443766796","6.65291738359955","7.4955962262493","6.48445346277515","6.3987133165299","5.601566676004","6.00723288128889","7.19776583908352","7.61266772119213","6.9025707976099","5.82405179865594","9.17538829665278","9.6158924127723","8.6083899381245","6.51091546668746","5.06197268096631","6.9210494803617","9.09049307859512","9.15152068682071","7.5898953117888","11.7360980207352","8.16197754429543","7.87320581340031","9.53161297293404","13.0584089085641","10.3595365925264","7.67504334832217","6.5981874720374","6.90935166055555","7.52990988191423","9.68049474531719","10.4285416392997","10.5607988827388","10.4155150598808","9.82715687968877","10.986396203428","11.5791314930307","28.3826540405656","25.9309089022757","23.8476194239892","23.2458767338576","23.0266946038115","22.6627503115066","22.0609003826242","19.5609850560818","18.9338234053709","18.4492091453155","16.2378594620246","14.6171733884386","14.4098189922755","11.0084679085148","12.7755996185958","",
"Armenia","ARM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.0029815146094","40.7453883799724","39.8207550211161","47.2189758700553","39.3280401541864","23.9279214602357","23.2400027935191","20.2732698860594","19.0030205054899","20.7582599154212","23.3752785094862","25.4683909062582","29.3565510388216","32.1526450092688","29.7348288897575","28.8092203201695","23.3589858676515","19.1856439468102","15.047103497546","15.4744686790481","20.8300947224855","23.756853460251","27.5667218763657","28.3591264995539","28.5651387020776","29.7279964768255","33.0659738450509","",
"American Samoa","ASM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.778210116732","97.3434535104364","89.84375","99.0059642147117","99.7983870967742","97.1153846153846","113.854351687389","78.1710914454277","63.1944444444444","58.3623693379791","74.8447204968944","71.2948517940718","66.2519440124417","64.7951441578149","65.0455927051672","",
