"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	555	4430141	12.5
	"Alabama"	"01"	"2000"	"2000"	583	4447100	13.1
	"Alabama"	"01"	"2001"	"2001"	512	4467634	11.5
	"Alabama"	"01"	"2002"	"2002"	514	4480089	11.5
	"Alabama"	"01"	"2003"	"2003"	521	4503491	11.6
	"Alabama"	"01"	"2004"	"2004"	541	4530729	11.9
	"Alabama"	"01"	"2005"	"2005"	535	4569805	11.7
	"Alabama"	"01"	"2006"	"2006"	580	4628981	12.5
	"Alabama"	"01"	"2007"	"2007"	592	4672840	12.7
	"Alabama"	"01"	"2008"	"2008"	604	4718206	12.8
	"Alabama"	"01"	"2009"	"2009"	673	4757938	14.1
	"Alabama"	"01"	"2010"	"2010"	679	4779736	14.2
	"Alabama"	"01"	"2011"	"2011"	654	4802740	13.6
	"Alabama"	"01"	"2012"	"2012"	724	4822023	15.0
	"Alabama"	"01"	"2013"	"2013"	721	4833722	14.9
	"Alabama"	"01"	"2014"	"2014"	715	4849377	14.7
	"Alabama"	"01"	"2015"	"2015"	750	4858979	15.4
	"Alabama"	"01"	"2016"	"2016"	788	4863300	16.2
	"Alaska"	"02"	"1999"	"1999"	96	624779	15.4
	"Alaska"	"02"	"2000"	"2000"	137	626932	21.9
	"Alaska"	"02"	"2001"	"2001"	102	633714	16.1
	"Alaska"	"02"	"2002"	"2002"	132	642337	20.5
	"Alaska"	"02"	"2003"	"2003"	124	648414	19.1
	"Alaska"	"02"	"2004"	"2004"	155	659286	23.5
	"Alaska"	"02"	"2005"	"2005"	131	666946	19.6
	"Alaska"	"02"	"2006"	"2006"	135	675302	20.0
	"Alaska"	"02"	"2007"	"2007"	149	680300	21.9
	"Alaska"	"02"	"2008"	"2008"	169	687455	24.6
	"Alaska"	"02"	"2009"	"2009"	143	698895	20.5
	"Alaska"	"02"	"2010"	"2010"	164	710231	23.1
	"Alaska"	"02"	"2011"	"2011"	143	722718	19.8
	"Alaska"	"02"	"2012"	"2012"	168	731449	23.0
	"Alaska"	"02"	"2013"	"2013"	171	735132	23.3
	"Alaska"	"02"	"2014"	"2014"	167	736732	22.7
	"Alaska"	"02"	"2015"	"2015"	201	738432	27.2
	"Alaska"	"02"	"2016"	"2016"	193	741894	26.0
	"Arizona"	"04"	"1999"	"1999"	766	5023823	15.2
	"Arizona"	"04"	"2000"	"2000"	784	5130632	15.3
	"Arizona"	"04"	"2001"	"2001"	767	5273477	14.5
	"Arizona"	"04"	"2002"	"2002"	886	5396255	16.4
	"Arizona"	"04"	"2003"	"2003"	840	5510364	15.2
	"Arizona"	"04"	"2004"	"2004"	880	5652404	15.6
	"Arizona"	"04"	"2005"	"2005"	945	5839077	16.2
	"Arizona"	"04"	"2006"	"2006"	979	6029141	16.2
	"Arizona"	"04"	"2007"	"2007"	1016	6167681	16.5
	"Arizona"	"04"	"2008"	"2008"	972	6280362	15.5
	"Arizona"	"04"	"2009"	"2009"	1060	6343154	16.7
	"Arizona"	"04"	"2010"	"2010"	1093	6392017	17.1
	"Arizona"	"04"	"2011"	"2011"	1160	6482505	17.9
	"Arizona"	"04"	"2012"	"2012"	1156	6553255	17.6
	"Arizona"	"04"	"2013"	"2013"	1163	6626624	17.6
	"Arizona"	"04"	"2014"	"2014"	1244	6731484	18.5
	"Arizona"	"04"	"2015"	"2015"	1276	6828065	18.7
	"Arizona"	"04"	"2016"	"2016"	1271	6931071	18.3
	"Arkansas"	"05"	"1999"	"1999"	336	2651860	12.7
	"Arkansas"	"05"	"2000"	"2000"	349	2673400	13.1
	"Arkansas"	"05"	"2001"	"2001"	382	2691571	14.2
	"Arkansas"	"05"	"2002"	"2002"	377	2705927	13.9
	"Arkansas"	"05"	"2003"	"2003"	374	2724816	13.7
	"Arkansas"	"05"	"2004"	"2004"	361	2749686	13.1
	"Arkansas"	"05"	"2005"	"2005"	400	2781097	14.4
	"Arkansas"	"05"	"2006"	"2006"	376	2821761	13.3
	"Arkansas"	"05"	"2007"	"2007"	402	2848650	14.1
	"Arkansas"	"05"	"2008"	"2008"	447	2874554	15.6
	"Arkansas"	"05"	"2009"	"2009"	422	2896843	14.6
	"Arkansas"	"05"	"2010"	"2010"	447	2915918	15.3
	"Arkansas"	"05"	"2011"	"2011"	462	2937979	15.7
	"Arkansas"	"05"	"2012"	"2012"	485	2949131	16.4
	"Arkansas"	"05"	"2013"	"2013"	516	2959373	17.4
	"Arkansas"	"05"	"2014"	"2014"	515	2966369	17.4
	"Arkansas"	"05"	"2015"	"2015"	577	2978204	19.4
	"Arkansas"	"05"	"2016"	"2016"	555	2988248	18.6
	"California"	"06"	"1999"	"1999"	3077	33499204	9.2
	"California"	"06"	"2000"	"2000"	2969	33871648	8.8
	"California"	"06"	"2001"	"2001"	2831	34479458	8.2
	"California"	"06"	"2002"	"2002"	3228	34871843	9.3
	"California"	"06"	"2003"	"2003"	3397	35253159	9.6
	"California"	"06"	"2004"	"2004"	3368	35574576	9.5
	"California"	"06"	"2005"	"2005"	3206	35827943	8.9
	"California"	"06"	"2006"	"2006"	3334	36021202	9.3
	"California"	"06"	"2007"	"2007"	3602	36250311	9.9
	"California"	"06"	"2008"	"2008"	3775	36604337	10.3
	"California"	"06"	"2009"	"2009"	3823	36961229	10.3
	"California"	"06"	"2010"	"2010"	3913	37253956	10.5
	"California"	"06"	"2011"	"2011"	3996	37691912	10.6
	"California"	"06"	"2012"	"2012"	3893	38041430	10.2
	"California"	"06"	"2013"	"2013"	4025	38332521	10.5
	"California"	"06"	"2014"	"2014"	4214	38802500	10.9
	"California"	"06"	"2015"	"2015"	4167	39144818	10.6
	"California"	"06"	"2016"	"2016"	4294	39250017	10.9
	"Colorado"	"08"	"1999"	"1999"	574	4226018	13.6
	"Colorado"	"08"	"2000"	"2000"	613	4301261	14.3
	"Colorado"	"08"	"2001"	"2001"	722	4425687	16.3
	"Colorado"	"08"	"2002"	"2002"	727	4490406	16.2
	"Colorado"	"08"	"2003"	"2003"	728	4528732	16.1
	"Colorado"	"08"	"2004"	"2004"	797	4575013	17.4
	"Colorado"	"08"	"2005"	"2005"	800	4631888	17.3
	"Colorado"	"08"	"2006"	"2006"	730	4720423	15.5
	"Colorado"	"08"	"2007"	"2007"	811	4803868	16.9
	"Colorado"	"08"	"2008"	"2008"	803	4889730	16.4
	"Colorado"	"08"	"2009"	"2009"	941	4972195	18.9
	"Colorado"	"08"	"2010"	"2010"	865	5029196	17.2
	"Colorado"	"08"	"2011"	"2011"	913	5116796	17.8
	"Colorado"	"08"	"2012"	"2012"	1052	5187582	20.3
	"Colorado"	"08"	"2013"	"2013"	1007	5268367	19.1
	"Colorado"	"08"	"2014"	"2014"	1083	5355866	20.2
	"Colorado"	"08"	"2015"	"2015"	1093	5456574	20.0
	"Colorado"	"08"	"2016"	"2016"	1168	5540545	21.1
	"Connecticut"	"09"	"1999"	"1999"	274	3386401	8.1
	"Connecticut"	"09"	"2000"	"2000"	304	3405565	8.9
	"Connecticut"	"09"	"2001"	"2001"	283	3432835	8.2
	"Connecticut"	"09"	"2002"	"2002"	260	3458749	7.5
	"Connecticut"	"09"	"2003"	"2003"	272	3484336	7.8
	"Connecticut"	"09"	"2004"	"2004"	294	3496094	8.4
	"Connecticut"	"09"	"2005"	"2005"	295	3506956	8.4
	"Connecticut"	"09"	"2006"	"2006"	292	3517460	8.3
	"Connecticut"	"09"	"2007"	"2007"	271	3527270	7.7
	"Connecticut"	"09"	"2008"	"2008"	315	3545579	8.9
	"Connecticut"	"09"	"2009"	"2009"	316	3561807	8.9
	"Connecticut"	"09"	"2010"	"2010"	353	3574097	9.9
	"Connecticut"	"09"	"2011"	"2011"	370	3580709	10.3
	"Connecticut"	"09"	"2012"	"2012"	368	3590347	10.2
	"Connecticut"	"09"	"2013"	"2013"	330	3596080	9.2
	"Connecticut"	"09"	"2014"	"2014"	379	3596677	10.5
	"Connecticut"	"09"	"2015"	"2015"	384	3590886	10.7
	"Connecticut"	"09"	"2016"	"2016"	397	3576452	11.1
